Word,Frequency,IDF,Score
fields,92,1.134,1.35421
further,92,1.134,1.35421
building,92,1.134,1.35421
types,92,1.134,1.35421
generate,91,1.134,1.33949
biological,52,1.981,1.33756
line,103,1.0,1.33752
graduate,43,2.386,1.33247
space,90,1.134,1.32477
like,102,1.0,1.32454
specialist,33,3.079,1.31962
instructions,33,3.079,1.31962
returns,33,3.079,1.31962
compounds,33,3.079,1.31962
equation,69,1.47,1.31714
application,89,1.134,1.31005
management,59,1.693,1.29721
result,88,1.134,1.29533
generated,77,1.288,1.28755
according,77,1.288,1.28755
student,50,1.981,1.28612
source,99,1.0,1.28558
traditional,58,1.693,1.27523
color,58,1.693,1.27523
image,76,1.288,1.27083
services,57,1.693,1.25324
cosine,31,3.079,1.23965
graphic,31,3.079,1.23965
intents,31,3.079,1.23965
polygon,31,3.079,1.23965
const,31,3.079,1.23965
photos,31,3.079,1.23965
another,40,2.386,1.2395
atomic,48,1.981,1.23467
energy,95,1.0,1.23364
parts,64,1.47,1.22169
specialized,39,2.386,1.20852
simulations,82,1.134,1.20701
validation,72,1.288,1.20394
subject,63,1.47,1.20261
ontologies,30,3.079,1.19966
scanners,30,3.079,1.19966
war,30,3.079,1.19966
funds,30,3.079,1.19966
domains,54,1.693,1.18728
solving,54,1.693,1.18728
accurate,71,1.288,1.18722
groups,71,1.288,1.18722
interaction,62,1.47,1.18352
including,91,1.0,1.1817
school,38,2.386,1.17753
bis,38,2.386,1.17753
representation,70,1.288,1.1705
obtain,70,1.288,1.1705
base,61,1.47,1.16443
corresponding,79,1.134,1.16285
letters,29,3.079,1.15967
printed,29,3.079,1.15967
polymers,45,1.981,1.15751
part,89,1.0,1.15572
community,69,1.288,1.15378
theories,37,2.386,1.14654
teachers,37,2.386,1.14654
queries,37,2.386,1.14654
biology,37,2.386,1.14654
qualitative,60,1.47,1.14534
practical,60,1.47,1.14534
capability,60,1.47,1.14534
format,52,1.693,1.14331
articles,52,1.693,1.14331
certain,68,1.288,1.13706
property,77,1.134,1.13341
note,44,1.981,1.13178
support,87,1.0,1.12975
automated,59,1.47,1.12625
similarity,51,1.693,1.12132
division,28,3.079,1.11968
comprehension,28,3.079,1.11968
graphics,28,3.079,1.11968
alpha,28,3.079,1.11968
participants,43,1.981,1.10606
problem,75,1.134,1.10397
include,75,1.134,1.10397
features,75,1.134,1.10397
initial,66,1.288,1.10361
service,50,1.693,1.09933
countries,50,1.693,1.09933
relevant,74,1.134,1.08925
digital,27,3.079,1.07969
import,27,3.079,1.07969
files,49,1.693,1.07735
obtaining,49,1.693,1.07735
improve,64,1.288,1.07017
force,56,1.47,1.06898
score,56,1.47,1.06898
tion,82,1.0,1.06482
temperature,72,1.134,1.05982
wave,48,1.693,1.05536
virtual,41,1.981,1.05462
metal,34,2.386,1.05358
question,63,1.288,1.05345
challenges,63,1.288,1.05345
solutions,55,1.47,1.04989
answer,55,1.47,1.04989
role,71,1.134,1.0451
experimental,71,1.134,1.0451
sentences,26,3.079,1.0397
pedagogical,26,3.079,1.0397
few,80,1.0,1.03885
structures,80,1.0,1.03885
perspective,62,1.288,1.03673
driving,47,1.693,1.03337
practices,54,1.47,1.0308
machine,54,1.47,1.0308
template,40,1.981,1.0289
access,40,1.981,1.0289
generation,61,1.288,1.02001
being,78,1.0,1.01288
article,53,1.47,1.01172
codes,39,1.981,1.00317
atom,39,1.981,1.00317
dataset,68,1.134,1.00094
phrase,25,3.079,0.99971
young,25,3.079,0.99971
conformations,25,3.079,0.99971
fundamental,52,1.47,0.99263
teaching,32,2.386,0.9916
qualities,32,2.386,0.9916
modeling,59,1.288,0.98656
stage,67,1.134,0.98622
fine,38,1.981,0.97745
personal,38,1.981,0.97745
without,75,1.0,0.97392
industry,51,1.47,0.97354
physical,51,1.47,0.97354
often,66,1.134,0.9715
individual,66,1.134,0.9715
next,58,1.288,0.96984
graph,58,1.288,0.96984
users,44,1.693,0.96741
requirements,44,1.693,0.96741
due,74,1.0,0.96094
electron,31,2.386,0.96062
scene,24,3.079,0.95973
video,24,3.079,0.95973
constant,65,1.134,0.95678
limitations,50,1.47,0.95445
structured,57,1.288,0.95312
sampling,57,1.288,0.95312
generating,57,1.288,0.95312
molecules,37,1.981,0.95173
com,73,1.0,0.94795
experience,43,1.693,0.94543
quantum,43,1.693,0.94543
means,56,1.288,0.9364
concept,49,1.47,0.93536
help,72,1.0,0.93497
obtained,72,1.0,0.93497
incorrect,30,2.386,0.92963
organic,30,2.386,0.92963
vectors,36,1.981,0.92601
political,36,1.981,0.92601
atoms,36,1.981,0.92601
presented,71,1.0,0.92198
real,71,1.0,0.92198
thinking,23,3.079,0.91974
approximation,55,1.288,0.91968
novel,48,1.47,0.91627
addition,62,1.134,0.91262
product,62,1.134,0.91262
providing,54,1.288,0.90296
continue,41,1.693,0.90145
answers,41,1.693,0.90145
companies,35,1.981,0.90028
universities,29,2.386,0.89864
determine,61,1.134,0.8979
class,61,1.134,0.8979
requires,61,1.134,0.8979
expert,47,1.47,0.89718
created,47,1.47,0.89718
cos,47,1.47,0.89718
provides,69,1.0,0.89601
reference,53,1.288,0.88623
optimization,53,1.288,0.88623
technical,60,1.134,0.88318
applied,60,1.134,0.88318
activity,68,1.0,0.88303
ing,68,1.0,0.88303
assistant,22,3.079,0.87975
checking,22,3.079,0.87975
scanner,22,3.079,0.87975
quantitative,40,1.693,0.87947
place,40,1.693,0.87947
named,40,1.693,0.87947
principle,46,1.47,0.87809
functional,46,1.47,0.87809
programming,34,1.981,0.87456
center,34,1.981,0.87456
operations,52,1.288,0.86951
exploratory,28,2.386,0.86765
innovations,28,2.386,0.86765
diagram,28,2.386,0.86765
tag,28,2.386,0.86765
mathematical,28,2.386,0.86765
deep,45,1.47,0.859
light,45,1.47,0.859
equations,45,1.47,0.859
funded,39,1.693,0.85748
tool,58,1.134,0.85374
response,58,1.134,0.85374
network,51,1.288,0.85279
experts,33,1.981,0.84884
academic,33,1.981,0.84884
long,65,1.0,0.84407
www,65,1.0,0.84407
additional,65,1.0,0.84407
function,65,1.0,0.84407
principles,44,1.47,0.83991
title,21,3.079,0.83976
creative,21,3.079,0.83976
functionality,21,3.079,0.83976
inp,21,3.079,0.83976
advances,21,3.079,0.83976
discoveries,21,3.079,0.83976
docking,21,3.079,0.83976
laser,27,2.386,0.83667
selected,50,1.288,0.83607
own,50,1.288,0.83607
elements,50,1.288,0.83607
involves,50,1.288,0.83607
projects,38,1.693,0.83549
depth,38,1.693,0.83549
order,64,1.0,0.83108
resulting,56,1.134,0.8243
communication,32,1.981,0.82312
works,43,1.47,0.82083
ensure,49,1.288,0.81935
able,49,1.288,0.81935
governance,37,1.693,0.81351
people,37,1.693,0.81351
classes,37,1.693,0.81351
across,55,1.134,0.80958
account,55,1.134,0.80958
gamma,26,2.386,0.80568
strategic,26,2.386,0.80568
string,26,2.386,0.80568
bond,26,2.386,0.80568
way,62,1.0,0.80511
testing,48,1.288,0.80263
allow,48,1.288,0.80263
directly,48,1.288,0.80263
block,48,1.288,0.80263
reasoning,42,1.47,0.80174
needs,42,1.47,0.80174
predicting,42,1.47,0.80174
handbooks,20,3.079,0.79977
speech,20,3.079,0.79977
syntactic,20,3.079,0.79977
compositions,20,3.079,0.79977
intent,20,3.079,0.79977
destination,20,3.079,0.79977
polymerization,20,3.079,0.79977
programme,20,3.079,0.79977
signaling,20,3.079,0.79977
pcu,20,3.079,0.79977
calculating,31,1.981,0.79739
require,54,1.134,0.79486
limited,61,1.0,0.79213
search,61,1.0,0.79213
consider,47,1.288,0.78591
position,47,1.288,0.78591
dynamics,47,1.288,0.78591
solid,47,1.288,0.78591
size,53,1.134,0.78014
survey,53,1.134,0.78014
techniques,60,1.0,0.77914
formal,25,2.386,0.77469
organization,25,2.386,0.77469
investment,25,2.386,0.77469
investments,25,2.386,0.77469
grants,25,2.386,0.77469
composition,30,1.981,0.77167
institutions,30,1.981,0.77167
triangle,30,1.981,0.77167
positions,35,1.693,0.76953
topology,35,1.693,0.76953
overall,46,1.288,0.76918
practice,46,1.288,0.76918
predict,46,1.288,0.76918
responses,46,1.288,0.76918
characteristics,46,1.288,0.76918
along,52,1.134,0.76542
distance,52,1.134,0.76542
experiment,40,1.47,0.76356
researcher,19,3.079,0.75978
manufacturing,19,3.079,0.75978
retrosynthesis,19,3.079,0.75978
amino,19,3.079,0.75978
terms,58,1.0,0.75317
components,58,1.0,0.75317
control,45,1.288,0.75246
questions,45,1.288,0.75246
functions,45,1.288,0.75246
serve,29,1.981,0.74595
foundation,29,1.981,0.74595
documents,29,1.981,0.74595
abilities,29,1.981,0.74595
successful,24,2.386,0.7437
non,57,1.0,0.74018
comprehensive,44,1.288,0.73574
current,56,1.0,0.7272
must,56,1.0,0.7272
simulation,56,1.0,0.7272
forming,33,1.693,0.72556
particles,33,1.693,0.72556
analytical,33,1.693,0.72556
report,38,1.47,0.72538
connection,38,1.47,0.72538
success,28,1.981,0.72023
quadratic,28,1.981,0.72023
ideas,18,3.079,0.71979
universe,18,3.079,0.71979
slicer,18,3.079,0.71979
xas,18,3.079,0.71979
aspects,43,1.288,0.71902
implementation,43,1.288,0.71902
innovative,43,1.288,0.71902
sides,23,2.386,0.71272
institution,23,2.386,0.71272
infrared,23,2.386,0.71272
ionic,23,2.386,0.71272
run,37,1.47,0.70629
suitable,37,1.47,0.70629
environment,37,1.47,0.70629
solve,37,1.47,0.70629
internal,32,1.693,0.70357
blocks,32,1.693,0.70357
gap,42,1.288,0.7023
detailed,42,1.288,0.7023
understand,42,1.288,0.7023
experiments,54,1.0,0.70123
parameters,54,1.0,0.70123
presentation,27,1.981,0.6945
expression,27,1.981,0.6945
term,47,1.134,0.69182
original,47,1.134,0.69182
includes,47,1.134,0.69182
interactions,47,1.134,0.69182
lines,47,1.134,0.69182
areas,47,1.134,0.69182
images,47,1.134,0.69182
better,53,1.0,0.68824
action,36,1.47,0.6872
self,36,1.47,0.6872
right,41,1.288,0.68558
coefficients,41,1.288,0.68558
guidance,22,2.386,0.68173
preprint,31,1.693,0.68159
meta,31,1.693,0.68159
methodology,31,1.693,0.68159
equipment,31,1.693,0.68159
compound,31,1.693,0.68159
creativity,17,3.079,0.67981
dictionary,17,3.079,0.67981
evkit,17,3.079,0.67981
programmatic,17,3.079,0.67981
tags,17,3.079,0.67981
xml,17,3.079,0.67981
polygons,17,3.079,0.67981
textures,17,3.079,0.67981
gaming,17,3.079,0.67981
citations,17,3.079,0.67981
ippog,17,3.079,0.67981
gmx,17,3.079,0.67981
electrolytes,17,3.079,0.67981
effective,46,1.134,0.6771
production,46,1.134,0.6771
calculation,40,1.288,0.66886
plot,40,1.288,0.66886
return,26,1.981,0.66878
scores,26,1.981,0.66878
industrial,35,1.47,0.66811
settings,35,1.47,0.66811
global,35,1.47,0.66811
useful,45,1.134,0.66238
called,45,1.134,0.66238
making,45,1.134,0.66238
received,30,1.693,0.6596
identified,39,1.288,0.65213
represent,39,1.288,0.65213
numerical,39,1.288,0.65213
expenditure,21,2.386,0.65074
mol,21,2.386,0.65074
conductivity,21,2.386,0.65074
whether,50,1.0,0.64928
might,50,1.0,0.64928
definition,34,1.47,0.64903
critical,34,1.47,0.64903
developing,34,1.47,0.64903
taking,34,1.47,0.64903
life,34,1.47,0.64903
databases,34,1.47,0.64903
scheme,34,1.47,0.64903
sources,44,1.134,0.64766
top,44,1.134,0.64766
automatic,25,1.981,0.64306
reactions,25,1.981,0.64306
corporate,16,3.079,0.63982
diagnosing,16,3.079,0.63982
readability,16,3.079,0.63982
memorization,16,3.079,0.63982
catalyst,16,3.079,0.63982
tbo,16,3.079,0.63982
mining,29,1.693,0.63761
uses,49,1.0,0.6363
considered,49,1.0,0.6363
usually,38,1.288,0.63541
combination,38,1.288,0.63541
forms,38,1.288,0.63541
existing,38,1.288,0.63541
appropriate,38,1.288,0.63541
categories,38,1.288,0.63541
determining,38,1.288,0.63541
noise,38,1.288,0.63541
associated,43,1.134,0.63295
error,43,1.134,0.63295
improving,33,1.47,0.62994
reasonable,33,1.47,0.62994
double,33,1.47,0.62994
previous,48,1.0,0.62331
phrases,20,2.386,0.61975
calculated,37,1.288,0.61869
calculations,37,1.288,0.61869
lead,42,1.134,0.61823
reality,24,1.981,0.61734
exchange,24,1.981,0.61734
interface,24,1.981,0.61734
person,24,1.981,0.61734
protocol,28,1.693,0.61563
designing,28,1.693,0.61563
rules,28,1.693,0.61563
considering,28,1.693,0.61563
strain,28,1.693,0.61563
learn,32,1.47,0.61085
goal,32,1.47,0.61085
vector,32,1.47,0.61085
sample,47,1.0,0.61033
integration,47,1.0,0.61033
presence,47,1.0,0.61033
become,41,1.134,0.60351
transfer,36,1.288,0.60197
represents,36,1.288,0.60197
free,36,1.288,0.60197
sci,15,3.079,0.59983
password,15,3.079,0.59983
tekhnolohii,15,3.079,0.59983
military,15,3.079,0.59983
cern,15,3.079,0.59983
cid,46,1.0,0.59734
condition,27,1.693,0.59364
medical,27,1.693,0.59364
waves,27,1.693,0.59364
private,27,1.693,0.59364
stages,31,1.47,0.59176
pressure,31,1.47,0.59176
business,23,1.981,0.59161
serves,23,1.981,0.59161
cancer,23,1.981,0.59161
tests,40,1.134,0.58879
purpose,40,1.134,0.58879
defined,40,1.134,0.58879
short,40,1.134,0.58879
window,40,1.134,0.58879
grounded,19,2.386,0.58876
medicine,19,2.386,0.58876
abs,19,2.386,0.58876
standard,35,1.288,0.58525
determined,35,1.288,0.58525
driven,35,1.288,0.58525
binary,35,1.288,0.58525
variables,39,1.134,0.57407
power,39,1.134,0.57407
directions,30,1.47,0.57267
phenomena,30,1.47,0.57267
leading,30,1.47,0.57267
choice,30,1.47,0.57267
primarily,30,1.47,0.57267
specified,30,1.47,0.57267
black,30,1.47,0.57267
cloud,26,1.693,0.57165
devices,26,1.693,0.57165
site,26,1.693,0.57165
multi,34,1.288,0.56853
consists,34,1.288,0.56853
towards,34,1.288,0.56853
built,34,1.288,0.56853
recommended,22,1.981,0.56589
intelligence,22,1.981,0.56589
psychological,22,1.981,0.56589
worldwide,22,1.981,0.56589
everyday,14,3.079,0.55984
kor,14,3.079,0.55984
labs,14,3.079,0.55984
conformation,14,3.079,0.55984
gro,14,3.079,0.55984
notnovel,14,3.079,0.55984
random,38,1.134,0.55935
still,38,1.134,0.55935
direction,38,1.134,0.55935
crucial,38,1.134,0.55935
around,38,1.134,0.55935
last,38,1.134,0.55935
cost,38,1.134,0.55935
focus,43,1.0,0.55838
discipline,18,2.386,0.55778
writing,18,2.386,0.55778
axes,18,2.386,0.55778
government,18,2.386,0.55778
diverse,29,1.47,0.55358
project,29,1.47,0.55358
construction,29,1.47,0.55358
depending,29,1.47,0.55358
candidate,29,1.47,0.55358
hypothesis,33,1.288,0.55181
issues,33,1.288,0.55181
effectiveness,25,1.693,0.54967
ensuring,25,1.693,0.54967
operating,25,1.693,0.54967
highly,42,1.0,0.5454
view,37,1.134,0.54463
among,37,1.134,0.54463
basis,37,1.134,0.54463
build,21,1.981,0.54017
write,21,1.981,0.54017
publications,21,1.981,0.54017
soft,21,1.981,0.54017
proteins,21,1.981,0.54017
neutron,21,1.981,0.54017
literature,32,1.288,0.53509
insights,32,1.288,0.53509
itself,32,1.288,0.53509
difficult,32,1.288,0.53509
evolution,32,1.288,0.53509
framework,32,1.288,0.53509
active,32,1.288,0.53509
always,28,1.47,0.53449
classification,28,1.47,0.53449
powerful,28,1.47,0.53449
contain,28,1.47,0.53449
wide,36,1.134,0.52991
required,36,1.134,0.52991
correctly,24,1.693,0.52768
instances,24,1.693,0.52768
costs,24,1.693,0.52768
demonstrates,24,1.693,0.52768
request,24,1.693,0.52768
diagnosis,24,1.693,0.52768
subjects,17,2.386,0.52679
increment,17,2.386,0.52679
receive,17,2.386,0.52679
exploring,17,2.386,0.52679
spe,17,2.386,0.52679
lists,17,2.386,0.52679
script,17,2.386,0.52679
organizational,17,2.386,0.52679
teacher,17,2.386,0.52679
firms,17,2.386,0.52679
hands,13,3.079,0.51985
parsing,13,3.079,0.51985
multiplication,13,3.079,0.51985
leadership,13,3.079,0.51985
cameras,13,3.079,0.51985
modulus,13,3.079,0.51985
scanned,13,3.079,0.51985
printers,13,3.079,0.51985
projector,13,3.079,0.51985
audiences,13,3.079,0.51985
samples,40,1.0,0.51943
distribution,40,1.0,0.51943
version,31,1.288,0.51836
essential,31,1.288,0.51836
representing,27,1.47,0.5154
guide,27,1.47,0.5154
added,27,1.47,0.5154
variable,35,1.134,0.51519
entire,35,1.134,0.51519
white,20,1.981,0.51445
documentation,20,1.981,0.51445
notation,20,1.981,0.51445
interactive,20,1.981,0.51445
pathway,20,1.981,0.51445
full,39,1.0,0.50644
zero,39,1.0,0.50644
fact,39,1.0,0.50644
collaboration,23,1.693,0.50569
accessible,23,1.693,0.50569
face,23,1.693,0.50569
indicators,23,1.693,0.50569
marginal,23,1.693,0.50569
explain,30,1.288,0.50164
formed,30,1.288,0.50164
others,30,1.288,0.50164
efficient,30,1.288,0.50164
enhance,30,1.288,0.50164
clear,30,1.288,0.50164
designed,34,1.134,0.50047
behavior,34,1.134,0.50047
allowing,26,1.47,0.49631
carried,26,1.47,0.49631
capable,26,1.47,0.49631
analyze,26,1.47,0.49631
stress,26,1.47,0.49631
rehabilitation,16,2.386,0.4958
vertices,16,2.386,0.4958
lighting,16,2.386,0.4958
plastic,16,2.386,0.4958
alloys,16,2.386,0.4958
produce,38,1.0,0.49346
efficiency,38,1.0,0.49346
enhancing,19,1.981,0.48873
coordination,19,1.981,0.48873
integer,19,1.981,0.48873
individuals,19,1.981,0.48873
labor,19,1.981,0.48873
laws,19,1.981,0.48873
sensor,19,1.981,0.48873
series,33,1.134,0.48575
desired,33,1.134,0.48575
represented,29,1.288,0.48492
cannot,29,1.288,0.48492
final,29,1.288,0.48492
algorithms,29,1.288,0.48492
period,29,1.288,0.48492
background,22,1.693,0.48371
recognition,22,1.693,0.48371
wrong,22,1.693,0.48371
independent,37,1.0,0.48047
schema,12,3.079,0.47986
argues,12,3.079,0.47986
bases,12,3.079,0.47986
inquiry,12,3.079,0.47986
monograph,12,3.079,0.47986
rendering,12,3.079,0.47986
conversational,12,3.079,0.47986
intellectual,12,3.079,0.47986
achievements,12,3.079,0.47986
instruction,12,3.079,0.47986
noun,12,3.079,0.47986
nouns,12,3.079,0.47986
personality,12,3.079,0.47986
genetic,12,3.079,0.47986
educators,12,3.079,0.47986
administrator,12,3.079,0.47986
sintering,12,3.079,0.47986
chloro,12,3.079,0.47986
motif,12,3.079,0.47986
linspace,12,3.079,0.47986
powders,12,3.079,0.47986
smoke,12,3.079,0.47986
contribute,25,1.47,0.47722
aim,25,1.47,0.47722
progress,25,1.47,0.47722
selection,32,1.134,0.47103
edu,28,1.288,0.4682
left,28,1.288,0.4682
calculate,28,1.288,0.4682
almost,28,1.288,0.4682
much,36,1.0,0.46748
increasing,36,1.0,0.46748
surface,36,1.0,0.46748
assist,15,2.386,0.46481
plate,15,2.386,0.46481
vision,15,2.386,0.46481
electromagnetic,15,2.386,0.46481
hole,15,2.386,0.46481
cited,15,2.386,0.46481
confusion,15,2.386,0.46481
disciplines,18,1.981,0.463
manually,18,1.981,0.463
room,18,1.981,0.463
manual,18,1.981,0.463
market,18,1.981,0.463
geometric,18,1.981,0.463
mechanical,18,1.981,0.463
route,18,1.981,0.463
incorporating,21,1.693,0.46172
document,21,1.693,0.46172
valuable,21,1.693,0.46172
location,21,1.693,0.46172
angles,21,1.693,0.46172
written,24,1.47,0.45814
identifying,24,1.47,0.45814
flow,24,1.47,0.45814
collection,24,1.47,0.45814
lack,24,1.47,0.45814
edge,24,1.47,0.45814
offers,24,1.47,0.45814
steps,31,1.134,0.45631
follows,31,1.134,0.45631
predictions,31,1.134,0.45631
end,31,1.134,0.45631
likely,31,1.134,0.45631
above,35,1.0,0.4545
positive,35,1.0,0.4545
address,27,1.288,0.45148
algorithm,27,1.288,0.45148
contains,30,1.134,0.44159
empirical,30,1.134,0.44159
details,30,1.134,0.44159
theoretical,30,1.134,0.44159
scale,34,1.0,0.44151
together,34,1.0,0.44151
rather,34,1.0,0.44151
area,34,1.0,0.44151
scientist,11,3.079,0.43987
notes,11,3.079,0.43987
departments,11,3.079,0.43987
correctness,11,3.079,0.43987
readable,11,3.079,0.43987
opens,11,3.079,0.43987
lan,11,3.079,0.43987
guage,11,3.079,0.43987
expressions,11,3.079,0.43987
ser,11,3.079,0.43987
server,11,3.079,0.43987
cre,11,3.079,0.43987
predicate,11,3.079,0.43987
identifier,11,3.079,0.43987
methodical,11,3.079,0.43987
applicants,11,3.079,0.43987
formative,11,3.079,0.43987
textbook,11,3.079,0.43987
merger,11,3.079,0.43987
schools,11,3.079,0.43987
osvity,11,3.079,0.43987
alloy,11,3.079,0.43987
naming,11,3.079,0.43987
understands,11,3.079,0.43987
summarization,11,3.079,0.43987
fluid,11,3.079,0.43987
mdp,11,3.079,0.43987
supporting,20,1.693,0.43973
rule,20,1.693,0.43973
determination,20,1.693,0.43973
aimed,20,1.693,0.43973
processed,20,1.693,0.43973
external,23,1.47,0.43905
body,23,1.47,0.43905
explanation,23,1.47,0.43905
hypotheses,17,1.981,0.43728
helps,17,1.981,0.43728
evaluating,17,1.981,0.43728
asked,17,1.981,0.43728
commands,17,1.981,0.43728
neural,17,1.981,0.43728
interpolation,17,1.981,0.43728
recommend,17,1.981,0.43728
spin,17,1.981,0.43728
pathways,17,1.981,0.43728
electrons,17,1.981,0.43728
applying,26,1.288,0.43476
already,26,1.288,0.43476
pre,26,1.288,0.43476
repeat,14,2.386,0.43383
connecting,14,2.386,0.43383
library,14,2.386,0.43383
priority,14,2.386,0.43383
geometry,14,2.386,0.43383
movements,14,2.386,0.43383
gene,14,2.386,0.43383
semiconductor,14,2.386,0.43383
phonon,14,2.386,0.43383
achieve,33,1.0,0.42853
complete,33,1.0,0.42853
especially,33,1.0,0.42853
parameter,33,1.0,0.42853
times,33,1.0,0.42853
relative,33,1.0,0.42853
sets,29,1.134,0.42687
effectively,29,1.134,0.42687
improved,29,1.134,0.42687
ways,29,1.134,0.42687
negative,29,1.134,0.42687
studied,29,1.134,0.42687
improvement,22,1.47,0.41996
architecture,22,1.47,0.41996
side,22,1.47,0.41996
hard,22,1.47,0.41996
curve,22,1.47,0.41996
performing,22,1.47,0.41996
parallel,25,1.288,0.41804
included,25,1.288,0.41804
investigate,25,1.288,0.41804
yield,25,1.288,0.41804
online,25,1.288,0.41804
outputs,19,1.693,0.41775
conducted,19,1.693,0.41775
supports,19,1.693,0.41775
gain,19,1.693,0.41775
oriented,19,1.693,0.41775
decision,19,1.693,0.41775
energies,19,1.693,0.41775
respectively,32,1.0,0.41554
strong,28,1.134,0.41215
ones,28,1.134,0.41215
defines,16,1.981,0.41156
environmental,16,1.981,0.41156
cognitive,16,1.981,0.41156
configuration,16,1.981,0.41156
stars,16,1.981,0.41156
assistance,16,1.981,0.41156
